Pollutants
	city: Ciudad de M&eacute;xico,averages ps
	cityCode: MEX
	country: M&eacute;xico
	mesurementAgency: SIMAT
	URL: http://www.aire.df.gob.mx
	timeStamp: 2022/01/01 al 2022/11/11
	average_interval: 001h
	date,"id_station",id_parameter,value,unit
19/01/2022,PED,PM2.5,22,2
19/01/2022,SAG,PM10,51,2
19/01/2022,SAG,PM2.5,26,2
19/01/2022,TAH,PM10,62,2
19/01/2022,TLA,PM10,59,2
19/01/2022,TLA,PM2.5,26,2
19/01/2022,TLI,PM10,65,2
19/01/2022,UAX,PM2.5,23,2
19/01/2022,UIZ,PM10,53,2
19/01/2022,UIZ,PM2.5,28,2
19/01/2022,CCA,PM2.5,19,2
19/01/2022,BJU,PM10,44,2
19/01/2022,BJU,PM2.5,28,2
19/01/2022,INN,PM10,21,2
19/01/2022,INN,PM2.5,13,2
19/01/2022,FAR,PM2.5,25,2
19/01/2022,SAC,PM2.5,33,2
20/01/2022,AJU,PM2.5,18,2
20/01/2022,MON,PM2.5,30,2
20/01/2022,CHO,PM10,83,2
20/01/2022,CUA,PM10,35,2
20/01/2022,CUT,PM10,57,2
20/01/2022,FAC,PM10,47,2
20/01/2022,MER,PM10,49,2
20/01/2022,MER,PM2.5,32,2
20/01/2022,NEZ,PM10,65,2
20/01/2022,PED,PM10,29,2
20/01/2022,PED,PM2.5,18,2
20/01/2022,SAG,PM10,47,2
20/01/2022,SAG,PM2.5,23,2
20/01/2022,TAH,PM10,63,2
20/01/2022,TLA,PM10,63,2
20/01/2022,TLA,PM2.5,28,2
20/01/2022,TLI,PM10,67,2
20/01/2022,UAX,PM2.5,29,2
20/01/2022,UIZ,PM10,61,2
20/01/2022,UIZ,PM2.5,32,2
20/01/2022,CCA,PM2.5,20,2
20/01/2022,BJU,PM10,45,2
20/01/2022,BJU,PM2.5,27,2
20/01/2022,INN,PM10,20,2
20/01/2022,INN,PM2.5,13,2
20/01/2022,FAR,PM2.5,25,2
20/01/2022,SAC,PM2.5,32,2
21/01/2022,AJU,PM2.5,14,2
21/01/2022,MON,PM2.5,19,2
21/01/2022,CHO,PM10,50,2
21/01/2022,CUA,PM10,26,2
21/01/2022,CUT,PM10,53,2
21/01/2022,FAC,PM10,46,2
21/01/2022,MER,PM10,28,2
21/01/2022,MER,PM2.5,17,2
21/01/2022,NEZ,PM10,39,2
21/01/2022,PED,PM10,26,2
21/01/2022,PED,PM2.5,16,2
21/01/2022,SAG,PM10,34,2
21/01/2022,SAG,PM2.5,18,2
21/01/2022,TLA,PM10,46,2
21/01/2022,TLA,PM2.5,20,2
21/01/2022,TLI,PM10,48,2
21/01/2022,UAX,PM2.5,17,2
21/01/2022,UIZ,PM10,37,2
21/01/2022,UIZ,PM2.5,19,2
21/01/2022,CCA,PM2.5,16,2
21/01/2022,BJU,PM10,30,2
21/01/2022,BJU,PM2.5,18,2
21/01/2022,INN,PM10,16,2
21/01/2022,INN,PM2.5,11,2
21/01/2022,FAR,PM2.5,21,2
21/01/2022,SAC,PM2.5,19,2
22/01/2022,AJU,PM2.5,14,2
22/01/2022,MON,PM2.5,14,2
22/01/2022,CHO,PM10,30,2
22/01/2022,CUA,PM10,19,2
22/01/2022,CUT,PM10,38,2
22/01/2022,FAC,PM10,33,2
22/01/2022,MER,PM10,24,2
22/01/2022,MER,PM2.5,17,2
22/01/2022,NEZ,PM10,28,2
22/01/2022,NEZ,PM2.5,12,2
22/01/2022,PED,PM10,21,2
22/01/2022,PED,PM2.5,14,2
22/01/2022,SAG,PM10,25,2
22/01/2022,SAG,PM2.5,16,2
22/01/2022,TLA,PM10,37,2
22/01/2022,TLA,PM2.5,17,2
22/01/2022,TLI,PM10,36,2
22/01/2022,UAX,PM2.5,15,2
22/01/2022,UIZ,PM10,25,2
22/01/2022,UIZ,PM2.5,13,2
22/01/2022,CCA,PM2.5,13,2
22/01/2022,BJU,PM10,24,2
22/01/2022,BJU,PM2.5,15,2
22/01/2022,INN,PM10,13,2
22/01/2022,INN,PM2.5,8,2
22/01/2022,FAR,PM2.5,16,2
22/01/2022,SAC,PM2.5,14,2
23/01/2022,AJU,PM2.5,17,2
23/01/2022,MON,PM2.5,21,2
23/01/2022,CHO,PM10,41,2
23/01/2022,CUA,PM10,32,2
23/01/2022,CUT,PM10,38,2
23/01/2022,FAC,PM10,44,2
23/01/2022,MER,PM10,39,2
23/01/2022,MER,PM2.5,28,2
23/01/2022,NEZ,PM10,41,2
23/01/2022,NEZ,PM2.5,20,2
23/01/2022,PED,PM10,33,2
23/01/2022,PED,PM2.5,23,2
23/01/2022,SAG,PM10,37,2
23/01/2022,SAG,PM2.5,25,2
23/01/2022,TAH,PM10,41,2
23/01/2022,TLA,PM10,56,2
23/01/2022,TLA,PM2.5,28,2
23/01/2022,TLI,PM10,62,2
23/01/2022,UAX,PM2.5,21,2
23/01/2022,UIZ,PM10,37,2
23/01/2022,UIZ,PM2.5,21,2
23/01/2022,CCA,PM2.5,20,2
23/01/2022,BJU,PM10,37,2
23/01/2022,BJU,PM2.5,25,2
23/01/2022,INN,PM10,15,2
23/01/2022,INN,PM2.5,9,2
23/01/2022,FAR,PM2.5,21,2
23/01/2022,SAC,PM2.5,23,2
24/01/2022,AJU,PM2.5,12,2
24/01/2022,MON,PM2.5,16,2
24/01/2022,CHO,PM10,38,2
24/01/2022,CUA,PM10,22,2
24/01/2022,CUT,PM10,40,2
24/01/2022,FAC,PM10,31,2
24/01/2022,MER,PM10,27,2
24/01/2022,MER,PM2.5,17,2
24/01/2022,NEZ,PM10,33,2
